pulau_kota,kategori,nama_perumahan,latitude,longitude,link_gmaps
Medan,Subsidi,Perumahan Jordan City,3.4163279,98.6449018,https://www.google.com/maps/place/Perumahan+Jordan+City/data=!4m7!3m6!1s0x3031230013e87491:0x56ddba521cfcf00c!8m2!3d3.4163279!4d98.6449018!16s%2Fg%2F11y27ww77z!19sChIJkXToEwAjMTARDPD8HFK63VY?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumahan bersubsidi mulia residence 3 ajibaho,3.4462023,98.6932081,https://www.google.com/maps/place/Perumahan+bersubsidi+mulia+residence+3+ajibaho/data=!4m7!3m6!1s0x30313d0ec6e78b1f:0x35af0ab42d6b5b41!8m2!3d3.4462023!4d98.6932081!16s%2Fg%2F11hz6pyzp7!19sChIJH4vnxg49MTARQVtrLbQKrzU?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumahan Johor Medan,3.4242146,98.64333,https://www.google.com/maps/place/Perumahan+Johor+Medan/data=!4m7!3m6!1s0x303123b49c4a2449:0xd630de34f7c1caef!8m2!3d3.4242146!4d98.64333!16s%2Fg%2F11fgkrvq4x!19sChIJSSRKnLQjMTAR78rB9zTeMNY?authuser=0&hl=id&rclk=1
Medan,Subsidi,Puri khazanah regency medan,3.6303594,98.828443,https://www.google.com/maps/place/Puri+khazanah+regency+medan/data=!4m7!3m6!1s0x30313513de5106b1:0xb982ca1c356fb059!8m2!3d3.6303594!4d98.828443!16s%2Fg%2F11j7g02q9j!19sChIJsQZR3hM1MTARWbBvNRzKgrk?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumnas Simalingkar,3.5084181,98.6332523,https://www.google.com/maps/place/Perumnas+Simalingkar/data=!4m7!3m6!1s0x303125695993a485:0xed5e73a820857da!8m2!3d3.5084181!4d98.6332523!16s%2Fg%2F11b6t54p7h!19sChIJhaSTWWklMTAR2lcIgjrn1Q4?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumahan griya harapan baru,3.5123965,98.5944549,https://www.google.com/maps/place/Perumahan+griya+harapan+baru/data=!4m7!3m6!1s0x3031250a6ad88c0b:0x7f0e87cd28d30c15!8m2!3d3.5123965!4d98.5944549!16s%2Fg%2F11h269w_zv!19sChIJC4zYagolMTARFQzTKM2HDn8?authuser=0&hl=id&rclk=1
Medan,Subsidi,Rumah Subsidi dan Komersil Medan,3.6175625,98.7401875,https://www.google.com/maps/place/Rumah+Subsidi+dan+Komersil+Medan/data=!4m7!3m6!1s0x8a564a625fc851ff:0x3f535989fbd11406!8m2!3d3.6175625!4d98.7401875!16s%2Fg%2F11x7xyl7kq!19sChIJ_1HIX2JKVooRBhTR-4lZUz8?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumahan Bersubsidi,3.6358271,98.7904321,https://www.google.com/maps/place/Perumahan+Bersubsidi/data=!4m7!3m6!1s0x3031357efc193dfb:0x70db5307f804a32e!8m2!3d3.6358271!4d98.7904321!16s%2Fg%2F11fkpr84g0!19sChIJ-z0Z_H41MTARLqME-AdT23A?authuser=0&hl=id&rclk=1
Medan,Subsidi,Green View Sunggal,3.6104178,98.5488911,https://www.google.com/maps/place/Green+View+Sunggal/data=!4m7!3m6!1s0x3031290e530987f7:0xa0d6a646e28d5943!8m2!3d3.6104178!4d98.5488911!16s%2Fg%2F11fvk2xztb!19sChIJ94cJUw4pMTARQ1mN4kam1qA?authuser=0&hl=id&rclk=1
Medan,Subsidi,PERUMAHAN PESONA SUKARAYA CITY,3.525244,98.5645772,https://www.google.com/maps/place/PERUMAHAN+PESONA+SUKARAYA+CITY/data=!4m7!3m6!1s0x3031271eaf590803:0x82029fbb2fa467fd!8m2!3d3.525244!4d98.5645772!16s%2Fg%2F11h7kt_77h!19sChIJAwhZrx4nMTAR_WekL7ufAoI?authuser=0&hl=id&rclk=1
Medan,Subsidi,Bungsu Sierra,3.4457007,98.6769059,https://www.google.com/maps/place/Bungsu+Sierra/data=!4m7!3m6!1s0x30313d0061336677:0x4b6f9ae72d42220c!8m2!3d3.4457007!4d98.6769059!16s%2Fg%2F11yjt6r35v!19sChIJd2YzYQA9MTARDCJCLeeab0s?authuser=0&hl=id&rclk=1
Medan,Subsidi,Komplek Medan Krio Asri,3.5721044,98.5801544,https://www.google.com/maps/place/Komplek+Medan+Krio+Asri/data=!4m7!3m6!1s0x30312f2fb97545f1:0x6ab88ecf8b085a46!8m2!3d3.5721044!4d98.5801544!16s%2Fg%2F11g6qqyx2k!19sChIJ8UV1uS8vMTARRloIi8-OuGo?authuser=0&hl=id&rclk=1
Medan,Subsidi,ANNAFRIS RINGROAD REGENCY,3.5503073,98.6265381,https://www.google.com/maps/place/ANNAFRIS+RINGROAD+REGENCY/data=!4m7!3m6!1s0x30312f785aca360f:0x4e0afc74a56a9f8e!8m2!3d3.5503073!4d98.6265381!16s%2Fg%2F11jgbzw83f!19sChIJDzbKWngvMTARjp9qpXT8Ck4?authuser=0&hl=id&rclk=1
Medan,Subsidi,Green Johor Residence,3.5202268,98.6627075,https://www.google.com/maps/place/Green+Johor+Residence/data=!4m7!3m6!1s0x30313aca80b7977f:0x3a1e68897c957c!8m2!3d3.5202268!4d98.6627075!16s%2Fg%2F11bvt520pf!19sChIJf5e3gMo6MTARfJV8iWgeOgA?authuser=0&hl=id&rclk=1
Medan,Subsidi,PALM MILALA INDAH 2,3.5825721,98.5651601,https://www.google.com/maps/place/PALM+MILALA+INDAH+2/data=!4m7!3m6!1s0x303129a042ada285:0xc30e98357c1c9608!8m2!3d3.5825721!4d98.5651601!16s%2Fg%2F11s534psg9!19sChIJhaKtQqApMTARCJYcfDWYDsM?authuser=0&hl=id&rclk=1
Medan,Subsidi,Halton Place - Menteng Indah,3.5562508,98.7220339,https://www.google.com/maps/place/Halton+Place+-+Menteng+Indah/data=!4m7!3m6!1s0x3031309440f878e9:0x25d82a6a4e68402f!8m2!3d3.5562508!4d98.7220339!16s%2Fg%2F11csqhcz13!19sChIJ6Xj4QJQwMTARL0BoTmoq2CU?authuser=0&hl=id&rclk=1
